time,name,type,content,scoreXM,scoreSNOW,scoreAVG
05月06日08:59,"期郎"" s",微博会员,突发事件！trump在北京时间凌晨，突然在Twitter上称要对2000亿元美元的中国商品加税至25%（原执行是10%），并将对另外3200亿美元的商品加税。这种消息显然对股市的打击是相当大的。眼见两国贸易协谈判进入冲刺阶段，特郎普突然掀桌子，露出其讹诈性格，以胜负手逼迫中国接受美国的所有条件。后续就看能否峰回路转！,0.943186566,0.999996896,0.971591731
05月06日08:59,"有生之草""",微博会员,盘前语。昨日之前，大V网红砖家媒体口径一致，即六日肯定高开，理由呢？很多，N种解读，其实，没说的那条才是理由，因美股涨了；然今早，风向突变，所有的大V网红砖家媒体说，今天肯定低开，理由呢？没说。其实，trump又开始打贸易战了，Twitter火力加强，美国已中弹，当然吾方也会重伤。股民黑周一啊。​,0.433006368,0.114424212,0.27371529
05月06日08:55,馬克斯考著,微博普通,每小时耍trump的Twitter。O靠什么指标来判断牛市高点?​,0.806143501,0.837247768,0.821695635
05月06日08:54,jupro,微博普通,没人在意么，美金现汇买入价暴涨到6.77了，昨天才6.72啊！trump两条Twitter就让RMB暴跌啊​,0.016707437,0.538766345,0.277736891
05月06日08:54,凤凰通讯社,微博官方,5月6日（周一），秘书处为您提供今日新闻摘要，供您参考！1、环球社评：新疆治理下一个焦点，让稳定长期化。（详见：）2、挑动与中国“文明较量”？美国务院官员“蠢”起来连盟友都怕。3、俄航客机紧急降落时起火41人遇难，媒体：或因被闪电击中起火。4、脸书封杀极右翼账号，trump发起“Twitter风暴”：我将紧盯你们。5、巴以“激烈交火”引发地区紧张，超250万Israel百姓躲进防空洞。6、印尼“击沉”51艘“非法捕鱼”外国渔船，多半来自越南。7、伊朗官员：面对“非法”制裁，伊朗将在“灰色市场”出售石油。8、东京证交所携手地方银行，拟每年扶持百家企业上市。9、中共中央国务院：建立集体经营性建设用地入市制度。10、人民日报：这个“五一”亮点多，消费升级供需两旺。（详见：O这个“五一”亮点多：消费升级供需两旺）11、中国官方：到2022年城乡融合发展体制机制初步建立。12、一季度经济开局平稳稳中有进，服务业增加值同比增7%。13、一图读懂《政府投资条例》（附权威答问）。（详见：O一图读懂《政府投资条例》（附权威答问））14、央行：4月对金融机构开展中期借贷便利操作共2000亿。15、水利部启动建设项目节水评价，从严叫停不通过项目。16、动车禁止延长补票？铁路客服：未接到相关通知。17、广东治理“高考移民”：5月10日前排查外省转入学生。18、深圳楼市重新火爆成交量创新高，专家：因大湾区远景。19、Huawei正与高通谈判专利和解，或将每年付5亿美元专利费。★今日分享: ​​凡事最好做到三个字，想得开。想，就是能思考。得，就是有收获。开，就是会开心。做到这三个字，很多事就不是事了。——刘同​​,1,1,1
05月06日08:49,"城西股事""",微博普通,今日全球避险资产亚洲开盘大涨，道指期货跌逾400点，标普500期指跌1.6%。WTI原油期货周一早盘跳空低开2%以上。现货黄金、白银短线拉升。跟trumpTwitter内容也有很大的关系！​,0.508013678,0.122082335,0.315048007
05月06日08:48,韭菜帮帮主,微博个人,今日全球避险资产亚洲开盘大涨，道指期货跌逾400点，标普500期指跌1.6%。WTI原油期货周一早盘跳空低开2%以上。现货黄金、白银短线拉升。跟trumpTwitter内容也有很大的关系！​,0.508013678,0.122082335,0.315048007
05月06日08:46,"城西股事""",微博普通,trump又发Twitter了，催促中美贸易谈判，这个消息预计会对A股产生较的波动！​,0.006630098,0.109120877,0.057875488
05月06日08:46,韭菜帮帮主,微博个人,trump又发Twitter了，催促中美贸易谈判，这个消息预计会对A股产生较的波动！​,0.006630098,0.109120877,0.057875488
05月06日08:41,火锅德鲁伊,微博会员,不用组织动手，我自己删trump的Twitter图​,0.065976493,0.806402828,0.436189661
